C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4356.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4357.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4363.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4368.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4373.HEIC,Other|animals|giraffe
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4375.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4376.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4377.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4379.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4382.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4383.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4384.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4385.HEIC,Other|vehicles|train
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4388.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4389.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4390.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4394.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4396.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4399.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4402.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4403.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4406.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4408.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4413.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4414.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4421.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4428.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4429.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4432.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4434.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 4437.HEIC,
